<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GMKN;60;20220825;170000;15.332.0000000
GMKN;60;20220825;180000;15.388.0000000
GMKN;60;20220825;190000;15.384.0000000
GMKN;60;20220826;110000;15.288.0000000
GMKN;60;20220826;120000;15.324.0000000
GMKN;60;20220826;130000;15.310.0000000
GMKN;60;20220826;140000;15.308.0000000
GMKN;60;20220826;150000;15.244.0000000
GMKN;60;20220826;160000;15.312.0000000
GMKN;60;20220826;170000;15.352.0000000
GMKN;60;20220826;180000;15.368.0000000
GMKN;60;20220826;190000;15.392.0000000
GMKN;60;20220829;110000;15.498.0000000
GMKN;60;20220829;120000;15.530.0000000
GMKN;60;20220829;130000;15.486.0000000
GMKN;60;20220829;140000;15.516.0000000
GMKN;60;20220829;150000;15.520.0000000
GMKN;60;20220829;160000;15.534.0000000
GMKN;60;20220829;170000;15.536.0000000
GMKN;60;20220829;180000;15.550.0000000
GMKN;60;20220829;190000;15.594.0000000
GMKN;60;20220830;110000;15.746.0000000
GMKN;60;20220830;120000;15.678.0000000
GMKN;60;20220830;130000;15.698.0000000
GMKN;60;20220830;140000;15.702.0000000
GMKN;60;20220830;150000;15.680.0000000
GMKN;60;20220830;160000;15.520.0000000
GMKN;60;20220830;170000;15.494.0000000
GMKN;60;20220830;180000;15.488.0000000
GMKN;60;20220830;190000;15.650.0000000
GMKN;60;20220831;110000;16.076.0000000
GMKN;60;20220831;120000;15.920.0000000
GMKN;60;20220831;130000;15.978.0000000
GMKN;60;20220831;140000;15.994.0000000
GMKN;60;20220831;150000;15.980.0000000
GMKN;60;20220831;160000;16.078.0000000
GMKN;60;20220831;170000;16.086.0000000
GMKN;60;20220831;180000;16.098.0000000
GMKN;60;20220831;190000;16.140.0000000
GMKN;60;20220901;110000;15.932.0000000
GMKN;60;20220901;120000;16.128.0000000
GMKN;60;20220901;130000;16.228.0000000
GMKN;60;20220901;140000;16.110.0000000
GMKN;60;20220901;150000;16.196.0000000
GMKN;60;20220901;160000;16.176.0000000
GMKN;60;20220901;170000;16.268.0000000
GMKN;60;20220901;180000;16.460.0000000
GMKN;60;20220901;190000;16.600.0000000
GMKN;60;20220902;110000;16.834.0000000
GMKN;60;20220902;120000;16.820.0000000
GMKN;60;20220902;130000;16.816.0000000
GMKN;60;20220902;140000;16.940.0000000
GMKN;60;20220902;150000;16.906.0000000
GMKN;60;20220902;160000;16.690.0000000
GMKN;60;20220902;170000;16.768.0000000
GMKN;60;20220902;180000;16.770.0000000
GMKN;60;20220902;190000;16.746.0000000
GMKN;60;20220905;110000;16.658.0000000
GMKN;60;20220905;120000;16.604.0000000
GMKN;60;20220905;130000;16.604.0000000
GMKN;60;20220905;140000;16.608.0000000
GMKN;60;20220905;150000;16.710.0000000
GMKN;60;20220905;160000;16.776.0000000
GMKN;60;20220905;170000;16.808.0000000
GMKN;60;20220905;180000;16.896.0000000
GMKN;60;20220905;190000;17.000.0000000
GMKN;60;20220906;110000;17.128.0000000
GMKN;60;20220906;120000;17.200.0000000
GMKN;60;20220906;130000;17.100.0000000
GMKN;60;20220906;140000;17.070.0000000
GMKN;60;20220906;150000;16.608.0000000
GMKN;60;20220906;160000;16.720.0000000
GMKN;60;20220906;170000;16.750.0000000
GMKN;60;20220906;180000;16.646.0000000
GMKN;60;20220906;190000;16.604.0000000
GMKN;60;20220907;110000;16.630.0000000
GMKN;60;20220907;120000;16.626.0000000
GMKN;60;20220907;130000;16.708.0000000
GMKN;60;20220907;140000;16.678.0000000
GMKN;60;20220907;150000;16.640.0000000
GMKN;60;20220907;160000;16.654.0000000
GMKN;60;20220907;170000;16.590.0000000
GMKN;60;20220907;180000;16.464.0000000
GMKN;60;20220907;190000;16.222.0000000
GMKN;60;20220908;110000;16.286.0000000
GMKN;60;20220908;120000;16.284.0000000
GMKN;60;20220908;130000;16.258.0000000
GMKN;60;20220908;140000;16.244.0000000
GMKN;60;20220908;150000;16.200.0000000
GMKN;60;20220908;160000;16.086.0000000
GMKN;60;20220908;170000;16.210.0000000
GMKN;60;20220908;180000;16.196.0000000
GMKN;60;20220908;190000;16.244.0000000
GMKN;60;20220909;110000;16.430.0000000
GMKN;60;20220909;120000;16.514.0000000
GMKN;60;20220909;130000;16.530.0000000
GMKN;60;20220909;140000;16.444.0000000
GMKN;60;20220909;150000;16.464.0000000
GMKN;60;20220909;160000;16.530.0000000
GMKN;60;20220909;170000;16.580.0000000
GMKN;60;20220909;180000;16.680.0000000
GMKN;60;20220909;190000;16.740.0000000
GMKN;60;20220912;110000;16.884.0000000
GMKN;60;20220912;120000;16.938.0000000
GMKN;60;20220912;130000;16.822.0000000
GMKN;60;20220912;140000;16.848.0000000
GMKN;60;20220912;150000;16.854.0000000
GMKN;60;20220912;160000;16.804.0000000
GMKN;60;20220912;170000;16.638.0000000
GMKN;60;20220912;180000;16.732.0000000
GMKN;60;20220912;190000;16.640.0000000
GMKN;60;20220912;200000;16.682.0000000
GMKN;60;20220912;210000;16.692.0000000
GMKN;60;20220912;220000;16.686.0000000
GMKN;60;20220912;230000;16.736.0000000
GMKN;60;20220913;000000;16.756.0000000
GMKN;60;20220913;110000;16.712.0000000
GMKN;60;20220913;120000;16.650.0000000
GMKN;60;20220913;130000;16.714.0000000
GMKN;60;20220913;140000;16.690.0000000
GMKN;60;20220913;150000;16.644.0000000
GMKN;60;20220913;160000;16.510.0000000
GMKN;60;20220913;170000;16.490.0000000
GMKN;60;20220913;180000;16.478.0000000
GMKN;60;20220913;190000;16.520.0000000
GMKN;60;20220913;200000;16.496.0000000
GMKN;60;20220913;210000;16.462.0000000
GMKN;60;20220913;220000;16.466.0000000
GMKN;60;20220913;230000;16.468.0000000
GMKN;60;20220914;000000;16.432.0000000
GMKN;60;20220914;110000;16.272.0000000
GMKN;60;20220914;120000;16.250.0000000
GMKN;60;20220914;130000;16.150.0000000
GMKN;60;20220914;140000;16.100.0000000
GMKN;60;20220914;150000;16.048.0000000
GMKN;60;20220914;160000;16.046.0000000
GMKN;60;20220914;170000;16.098.0000000
GMKN;60;20220914;180000;16.192.0000000
GMKN;60;20220914;190000;16.246.0000000
GMKN;60;20220914;200000;16.194.0000000
GMKN;60;20220914;210000;16.222.0000000
GMKN;60;20220914;220000;16.202.0000000
GMKN;60;20220914;230000;16.206.0000000
GMKN;60;20220915;000000;16.214.0000000
GMKN;60;20220915;110000;16.230.0000000
GMKN;60;20220915;120000;16.380.0000000
GMKN;60;20220915;130000;16.350.0000000
GMKN;60;20220915;140000;16.222.0000000
GMKN;60;20220915;150000;16.228.0000000
GMKN;60;20220915;160000;16.370.0000000
GMKN;60;20220915;170000;16.286.0000000
GMKN;60;20220915;180000;16.212.0000000
GMKN;60;20220915;190000;16.232.0000000
GMKN;60;20220915;200000;16.210.0000000
GMKN;60;20220915;210000;16.230.0000000
GMKN;60;20220915;220000;16.234.0000000
