<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;60;20220519;110000;265.5000000
GAZP;60;20220519;120000;266.7200000
GAZP;60;20220519;130000;265.8100000
GAZP;60;20220519;140000;265.7500000
GAZP;60;20220519;150000;265.1000000
GAZP;60;20220519;160000;265.5100000
GAZP;60;20220519;170000;266.0500000
GAZP;60;20220519;180000;266.9000000
GAZP;60;20220519;190000;266.6800000
GAZP;60;20220520;110000;265.6500000
GAZP;60;20220520;120000;263.1800000
GAZP;60;20220520;130000;263.3000000
GAZP;60;20220520;140000;263.1600000
GAZP;60;20220520;150000;260.7900000
GAZP;60;20220520;160000;262.2100000
GAZP;60;20220520;170000;262.3500000
GAZP;60;20220520;180000;262.0700000
GAZP;60;20220520;190000;263.0000000
GAZP;60;20220523;110000;268.7900000
GAZP;60;20220523;120000;267.8000000
GAZP;60;20220523;130000;264.5400000
GAZP;60;20220523;140000;264.7500000
GAZP;60;20220523;150000;264.4700000
GAZP;60;20220523;160000;264.2400000
GAZP;60;20220523;170000;264.6500000
GAZP;60;20220523;180000;263.6400000
GAZP;60;20220523;190000;263.0000000
GAZP;60;20220524;110000;261.5600000
GAZP;60;20220524;120000;258.2000000
GAZP;60;20220524;130000;256.1000000
GAZP;60;20220524;140000;253.3600000
GAZP;60;20220524;150000;257.8600000
GAZP;60;20220524;160000;262.7000000
GAZP;60;20220524;170000;264.0700000
GAZP;60;20220524;180000;262.0000000
GAZP;60;20220524;190000;265.8000000
GAZP;60;20220525;110000;267.9000000
GAZP;60;20220525;120000;267.3900000
GAZP;60;20220525;130000;265.0000000
GAZP;60;20220525;140000;267.3800000
GAZP;60;20220525;150000;267.1200000
GAZP;60;20220525;160000;267.6500000
GAZP;60;20220525;170000;269.0000000
GAZP;60;20220525;180000;269.8300000
GAZP;60;20220525;190000;271.4000000
GAZP;60;20220526;110000;277.9200000
GAZP;60;20220526;120000;277.4000000
GAZP;60;20220526;130000;279.9200000
GAZP;60;20220526;140000;267.3900000
GAZP;60;20220526;150000;271.4000000
GAZP;60;20220526;160000;271.6900000
GAZP;60;20220526;170000;271.9000000
GAZP;60;20220526;180000;296.2800000
GAZP;60;20220526;190000;295.8900000
GAZP;60;20220527;110000;298.4900000
GAZP;60;20220527;120000;298.9500000
GAZP;60;20220527;130000;297.7500000
GAZP;60;20220527;140000;297.9900000
GAZP;60;20220527;150000;296.2300000
GAZP;60;20220527;160000;295.2700000
GAZP;60;20220527;170000;297.0900000
GAZP;60;20220527;180000;297.5900000
GAZP;60;20220527;190000;294.5000000
GAZP;60;20220530;110000;299.7600000
GAZP;60;20220530;120000;297.2000000
GAZP;60;20220530;130000;298.3000000
GAZP;60;20220530;140000;297.4400000
GAZP;60;20220530;150000;298.8800000
GAZP;60;20220530;160000;298.4000000
GAZP;60;20220530;170000;299.7100000
GAZP;60;20220530;180000;300.3900000
GAZP;60;20220530;190000;300.8000000
